time,uuid,epochs,rows,columns,behaviours,min_angle,mag_goals,mag_modifier,sim_type,sim_time,mutation_strength,popsize,loss
2024-02-20T19:17:35.151,55369229716829187083466889085589369980,115,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.0071371720285325
2024-02-20T19:17:38.112,55369229716829187083466889085589369980,120,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.0064364677320494
2024-02-20T19:17:41.16,55369229716829187083466889085589369980,125,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0001,10,3.0056844057966376
2024-02-20T19:17:44.115,55369229716829187083466889085589369980,130,5,4,1,0.0,0.1,0.1,Diff,1000.0,7.0e-5,10,3.005043938758391
2024-02-20T19:17:47.09,55369229716829187083466889085589369980,135,5,4,1,0.0,0.1,0.1,Diff,1000.0,7.0e-5,10,3.0045599829190857
2024-02-20T19:17:50.071,55369229716829187083466889085589369980,140,5,4,1,0.0,0.1,0.1,Diff,1000.0,7.0e-5,10,3.0038079348482403
2024-02-20T19:17:53.008,55369229716829187083466889085589369980,145,5,4,1,0.0,0.1,0.1,Diff,1000.0,7.0e-5,10,3.0032928318206835
2024-02-20T19:17:55.91,55369229716829187083466889085589369980,150,5,4,1,0.0,0.1,0.1,Diff,1000.0,7.0e-5,10,3.00267189539033
2024-02-20T19:17:58.836,55369229716829187083466889085589369980,155,5,4,1,0.0,0.1,0.1,Diff,1000.0,7.0e-5,10,3.0022590446838335
2024-02-20T19:18:01.752,55369229716829187083466889085589369980,160,5,4,1,0.0,0.1,0.1,Diff,1000.0,7.0e-5,10,3.0016784927796394
2024-02-20T19:18:04.656,55369229716829187083466889085589369980,165,5,4,1,0.0,0.1,0.1,Diff,1000.0,7.0e-5,10,3.0012508487741165
2024-02-20T19:18:07.573,55369229716829187083466889085589369980,170,5,4,1,0.0,0.1,0.1,Diff,1000.0,7.0e-5,10,3.0007711676221347
2024-02-20T19:18:10.489,55369229716829187083466889085589369980,175,5,4,1,0.0,0.1,0.1,Diff,1000.0,7.0e-5,10,3.000363475433856
2024-02-20T19:18:13.425,55369229716829187083466889085589369980,180,5,4,1,0.0,0.1,0.1,Diff,1000.0,4.899999999999999e-5,10,2.9999843471946916
2024-02-20T19:18:16.359,55369229716829187083466889085589369980,185,5,4,1,0.0,0.1,0.1,Diff,1000.0,4.899999999999999e-5,10,2.999603708189009
2024-02-20T19:18:19.359,55369229716829187083466889085589369980,190,5,4,1,0.0,0.1,0.1,Diff,1000.0,4.899999999999999e-5,10,2.9991901990693415
2024-02-20T19:18:22.309,55369229716829187083466889085589369980,195,5,4,1,0.0,0.1,0.1,Diff,1000.0,4.899999999999999e-5,10,2.9989892713908968
2024-02-20T19:18:25.266,55369229716829187083466889085589369980,200,5,4,1,0.0,0.1,0.1,Diff,1000.0,4.899999999999999e-5,10,2.9985026989752996
